File;ORM_check;ORM_invited_or_challange;IRM_check;IRM_invited_or_challange;Folder;ID;Start Date;End Date;Process Category;Tribe;Type
;;;;;Private Banking _ Wealth/Campagnes/2023-04-13 Swingnature;1613;2023-04-13 00:00:00;2024-03-28 00:00:00;Risk assessment (non-PAP);Private Banking & Wealth Mgt (Advice);Change
;;;;;Payments Mobile Payments/Mobiel Betalen/2023-04-17 Google Pay;1621;2023-04-17 00:00:00;2024-03-12 00:00:00;Significant change financial product/-service/channel (PAP);Tribe Payments;Change
;;;;;Lenen zakelijk/Z_Other/2023-04-18 Climate Risk Assessment;1627;2023-04-18 00:00:00;2024-02-28 00:00:00;Risk assessment (non-PAP);Tribe Business Lending;Change
;;;;;Z_Other/Tribe Daily Banking & Digital First/2023-04-19 Check je zorgtoeslag;1632;2023-04-19 00:00:00;2024-10-02 00:00:00;Communication;Tribe Daily Banking & Digital First;Change
;;;;;Persoonlijke Lening/Persoonlijke Lening/2023-04-21 Implementing consolidation flow;1644;2023-04-21 00:00:00;2024-11-19 00:00:00;New financial product/-service/channel (PAP);Consumer Lending & Insurance;Change
;;;;;Z_Other/Consumer Lending & Insurance/2023-04-21 Extending Smart Calculator with MLA calculation;1645;2023-04-21 00:00:00;2024-11-19 00:00:00;Risk assessment (non-PAP);Consumer Lending & Insurance;Change
;;;;;Persoonlijke Lening/Persoonlijke Lening/2023-05-03 2nd contr holder CLT warning for Restr Loan  Fin Fit Loan;1671;2023-05-03 00:00:00;2024-10-30 00:00:00;Other change (non-PAP);Consumer Lending & Insurance;Change
;;;;;Persoonlijke Lening/Persoonlijke Lening/2023-05-04 PSD2 Apply Flow Consumer Loans;1674;2023-05-04 00:00:00;2024-10-31 00:00:00;Significant change financial product/-service/channel (PAP);Consumer Lending & Insurance;Change
;;;;;Beleggingsrekeningen/Eenvoudig Beleggen/2023-05-04 Eenvoudig Beleggen engagement optimalisatie;1676;2023-05-04 00:00:00;2024-05-23 00:00:00;Communication;Tribe Investments;Change
;;;;;Fraud/Process change/2023-05-15 Interactive Notifications;1706;2023-05-15 00:00:00;2024-04-18 00:00:00;Risk assessment (non-PAP);Tribe Fraud & Cyber Security;Change
;;;;;Digital Sales/Investments - Verdi/2023-05-15 Link to SU on additional investment pages;1708;2023-05-15 00:00:00;2024-07-09 00:00:00;Communication;Tribe Digital & Customer Interactions;Change
;;;;;Cash/Z_Other/2023-05-16 Decomission assisted cash services;1713;2023-05-16 00:00:00;2024-01-11 00:00:00;Termination of financial product/-service/channel (PAP);Tribe Payments;Change
;;;;;Digital Sales/Digital Touchpoints/2023-05-22 RTCDP matching variable phone number;1725;2023-05-22 00:00:00;2024-07-09 00:00:00;Other change (non-PAP);Tribe Digital & Customer Interactions;Change
;;;;;Payments Reporting/Afschriften (papier)/2023-05-25 Stop daily and weekly paper statements for private individuals;1734;2023-05-25 00:00:00;2024-03-13 00:00:00;Other change (non-PAP);Tribe Payments;Change
;;;;;Beleggingsrekeningen/Eenvoudig Beleggen/2023-05-25 Awareness and consideration campaign;1737;2023-05-25 00:00:00;2024-04-11 00:00:00;Communication;Tribe Investments;Change
;;;;;Z_Other/Tribe Digital & Customer Interactions/2023-05-30 SAE Update;1744;2023-05-30 00:00:00;2024-07-11 00:00:00;Risk assessment (non-PAP);Tribe Digital & Customer Interactions;Change
;;;;;Sustainability/Other/2023-05-31 2023NCFG;1745;2023-05-31 00:00:00;2024-05-31 00:00:00;Risk assessment (non-PAP);CoE Sustainability;Change
;;;;;Credit Cards/Creditcard/2023-05-31 Positive balances on closed credit card accounts (VIA);1746;2023-05-31 00:00:00;2024-02-27 00:00:00;Risk assessment (non-PAP);Tribe Payments;Change
;;;;;Persoonlijke Lening/Persoonlijke Lening/2022 - Instant Lending_Models/RIDM_Income/2023-13-04 Instant Lending changes Q2Q3;1751;2023-05-31 00:00:00;2024-11-19 00:00:00;Risk assessment (non-PAP);Consumer Lending & Insurance;Change
;;;;;Betalen-Roodstand/ING Rood Staan voor studenten/2023-06-05 Sales Stop ING Rood Staan voor studenten July 2023;1760;2023-06-05 00:00:00;2024-11-19 00:00:00;Communication;Consumer Lending & Insurance;Change
;;;;;Current accounts/Zakelijke rekening/2023-06-05 Four Eyes principle opening business account;1761;2023-06-05 00:00:00;2024-10-01 00:00:00;Risk assessment (non-PAP);Tribe Daily Banking & Digital First;Change
;;;;;Payments_Giraal betvk/Z_Other/2023-06-06 NextGen Sepa Rulebook wijzigingen 20232025;1769;2023-06-06 00:00:00;2024-04-08 00:00:00;Risk assessment (non-PAP);Tribe Payments;Change
;;;;;Doorlopend Krediet/Z_Other/2023-06-07 risklog update Lapwing Q2 2023;1772;2023-06-07 00:00:00;2024-01-08 00:00:00;Risk assessment (non-PAP);Consumer Lending & Insurance;Change
;;;;;KYC/Organisational change/2023-06-08 KYC Tribe extention - Process Design Specialists/0 - Risk Journey Tool;1776;2023-06-08 00:00:00;2024-10-29 00:00:00;Risk assessment (non-PAP);Tribe KYC Services;Change
;;;;;Beleggingsrekeningen/Zelf op de Beurs/2023-06-09 ACE Zelf op de Beurs;1779;2023-06-09 00:00:00;2024-09-06 00:00:00;Communication;Tribe Investments;Change
;;;;;Fraud/Process change/2023-06-13 Behavioral analytics on web;1786;2023-06-13 00:00:00;2024-03-21 00:00:00;Risk assessment (non-PAP);Tribe Fraud & Cyber Security;Change
;;;;;Fraud/Other/2023-10-24 Police report secure document upload;1791;2023-10-24 00:00:00;2024-02-13 00:00:00;Risk assessment (non-PAP);Tribe Fraud & Cyber Security;Change
;;;;;Beleggingsrekeningen/Beleggen App/2023-06-20 Periodic Fund Ordering MIApp;1806;2023-06-20 00:00:00;2024-09-13 00:00:00;Other change (non-PAP);Tribe Investments;Change
;;;;;Beleggingsrekeningen/Vermogensbeheer/2023-06-22 SFDR changes 2023;1811;2023-06-22 00:00:00;2024-04-11 00:00:00;Communication;Tribe Investments;Change
;;;;;Betalen-Roodstand/Continu Limiet voor ex-studenten/2023-06-22 Limit reduction and ending Continu Limieten exstudents;1812;2023-06-22 00:00:00;2024-03-07 00:00:00;Risk assessment (non-PAP);Consumer Lending & Insurance;Change
;;;;;Hypotheken - WUB/Z_Other/2023-06-27 ECB IO  Beleid Omzetten en Verlengen;1820;2023-06-27 00:00:00;2024-01-10 00:00:00;Other change (non-PAP);Tribe Mortgages;Change
;;;;;Beleggingsrekeningen/Beleggen App/2023-06-28 Makeathon 2023  Share portfolio for Self Invest;1826;2023-06-28 00:00:00;2024-04-11 00:00:00;Other change (non-PAP);Tribe Investments;Change
;;;;;Payments_Giraal betvk/SEPA Direct Debit (credit en debit)/2023-07-03 Refund fee;1841;2023-07-03 00:00:00;2024-04-03 00:00:00;Other change (non-PAP);Tribe Payments;Change
;;;;;Hypotheken/Z_Other/2023-07-04 HDN Bridge;1847;2023-07-04 00:00:00;2024-03-21 00:00:00;Risk assessment (non-PAP);Tribe Mortgages;Change
;;;;;Digital Sales/Mortgages/2023-07-04 Woningwaardetool starters;1848;2023-07-04 00:00:00;2024-07-09 00:00:00;Communication;Tribe Digital & Customer Interactions;Change
;;;;;Hypotheken/Z_Other/2023-07-05 Skip salary slip within origination process;1853;2023-07-05 00:00:00;2024-05-14 00:00:00;Risk assessment (non-PAP);Tribe Mortgages;Change
;;;;;Lenen zakelijk/Z_Other/2023-07-10 EWS suppression rules;1859;2023-07-10 00:00:00;2024-02-28 00:00:00;Risk assessment (non-PAP);Tribe Business Lending;Change
;;;;;Hypotheken - WUB/Z_Other/2023-07-11 MijnWUB Bouwdepot;1865;2023-07-11 00:00:00;2024-01-22 00:00:00;Other change (non-PAP);Tribe Mortgages;Change
;;;;;Collections/Process change/2023-07-11 DCA vierkantstelling;1867;2023-07-11 00:00:00;2024-12-13 00:00:00;Other change (non-PAP);Tribe Collections;Change
;;;;;C:/Users/TO60OF/ING/Product Evaluation and Risk Assessment Library (PEARL) - Documents/Pearl_Repository/Z_Other/Consumer Lending & Insurance/2023-07-11 Implement SDD for Loans;1871;2023-07-11 00:00:00;2024-10-31 00:00:00;Significant change financial product/-service/channel (PAP);Consumer Lending & Insurance;Change
